group	fill
1	#1F1F1F
2	#202020
3	#1F1F1F
4	#1F1F1F
5	#202020
6	#1F1F1F
7	#1F1F1F
8	#1F1F1F
9	#1F1F1F
10	#1F1F1F
11	#1F1F1F
12	#1F1F1F
13	#1F1F1F
14	#1F1F1F
15	#1F1F1F
16	#1F1F1F
17	#1F1F1F
18	#1F1F1F
19	#1F1F1F
20	#1F1F1F
21	#1F1F1F
22	#1F1F1F
23	#1F1F1F
24	#1F1F1F
25	#1F1F1F
26	#1F1F1F
27	#1F1F1F
28	#1F1F1F
29	#1F1F1F
30	#1F1F1F
31	#1F1F1F
32	#1F1F1F
33	#1F1F1F
34	#1F1F1F
35	#1F1F1F
36	#1F1F1F
37	#1F1F1F
38	#1F1F1F
39	#1F1F1F
40	#1F1F1F
41	#1F1F1F
42	#1F1F1F
43	#1F1F1F
44	#1F1F1F
45	#1F1F1F
46	#1F1F1F
47	#1F1F1F
48	#1F1F1F
49	#1F1F1F
50	#1F1F1F
51	#1F1F1F
52	#1F1F1F
53	#1F1F1F
54	#1F1F1F
55	#1F1F1F
56	#1F1F1F
57	#1F1F1F
58	#1F1F1F
59	#1F1F1F
60	#1F1F1F
61	#1F1F1F
62	#1F1F1F
63	#1F1F1F
64	#1F1F1F
65	#1F1F1F
66	#1F1F1F
67	#1F1F1F
68	#1F1F1F
69	#1F1F1F
70	#1F1F1F
71	#1F1F1F
72	#1F1F1F
73	#1F1F1F
74	#1F1F1F
75	#1F1F1F
76	#1F1F1F
77	#1F1F1F
78	#1F1F1F
79	#1F1F1F
80	#1F1F1F
81	#1F1F1F
82	#1F1F1F
83	#1F1F1F
84	#1F1F1F
85	#1F1F1F
86	#1F1F1F
87	#1F1F1F
88	#1F1F1F
89	#1F1F1F
90	#1F1F1F
91	#1F1F1F
92	#1F1F1F
93	#1F1F1F
94	#1F1F1F
95	#1F1F1F
96	#1F1F1F
97	#1F1F1F
98	#1F1F1F
99	#1F1F1F
100	#1F1F1F
101	#1F1F1F
102	#1F1F1F
103	#1F1F1F
104	#1F1F1F
105	#1F1F1F
106	#1F1F1F
107	#1F1F1F
108	#1F1F1F
109	#1F1F1F
110	#1F1F1F
111	#1F1F1F
112	#1F1F1F
113	#1F1F1F
114	#1F1F1F
115	#1F1F1F
116	#1F1F1F
117	#1F1F1F
118	#1F1F1F
119	#1F1F1F
120	#1F1F1F
121	#1F1F1F
122	#1F1F1F
123	#1F1F1F
124	#1F1F1F
125	#1F1F1F
126	#1F1F1F
127	#1F1F1F
128	#1F1F1F
129	#1F1F1F
130	#1F1F1F
131	#1F1F1F
132	#1F1F1F
133	#1F1F1F
134	#1F1F1F
135	#1F1F1F
136	#1F1F1F
137	#1E1E1E
138	#1B1B1B
139	#2D2D2D
140	#4A4A4A
141	#595959
142	#808080
143	#808080
144	#606060
145	#545454
146	#535353
147	#535353
148	#535353
149	#555555
150	#545454
151	#4F4F4F
152	#4A4A4A
153	#474747
154	#414141
155	#393939
156	#313131
157	#292929
158	#262626
159	#232323
160	#202020
161	#1F1F1F
162	#1F1F1F
163	#1F1F1F
164	#1F1F1F
165	#202020
166	#1F1F1F
167	#1E1E1E
168	#282828
169	#2A2A2A
170	#1F1F1F
171	#1F1F1F
172	#1F1F1F
173	#1F1F1F
174	#1F1F1F
175	#1E1E1E
176	#1F1F1F
177	#2F2F2F
178	#2C2C2C
179	#262626
180	#2E2E2E
181	#252525
182	#202020
183	#1F1F1F
184	#1F1F1F
185	#202020
186	#222222
187	#1F1F1F
188	#1E1E1E
189	#1F1F1F
190	#202020
191	#212121
192	#202020
193	#212121
194	#212121
195	#1F1F1F
196	#1F1F1F
197	#202020
198	#1F1F1F
199	#212121
200	#252525
201	#242424
202	#202020
203	#1E1E1E
204	#202020
205	#222222
206	#202020
207	#1F1F1F
208	#1F1F1F
209	#1F1F1F
210	#1F1F1F
211	#1F1F1F
212	#1F1F1F
213	#1F1F1F
214	#1F1F1F
215	#1F1F1F
216	#1F1F1F
217	#1F1F1F
218	#1F1F1F
219	#1F1F1F
220	#1F1F1F
221	#1F1F1F
222	#1F1F1F
223	#1F1F1F
224	#1F1F1F
225	#1F1F1F
226	#1F1F1F
227	#1F1F1F
228	#1F1F1F
229	#1F1F1F
230	#1F1F1F
231	#1F1F1F
232	#1F1F1F
233	#1F1F1F
234	#1F1F1F
235	#1F1F1F
236	#1F1F1F
237	#1F1F1F
238	#1F1F1F
239	#1F1F1F
240	#1F1F1F
241	#1F1F1F
242	#1F1F1F
243	#1F1F1F
244	#1F1F1F
245	#1F1F1F
246	#1F1F1F
247	#1F1F1F
248	#1F1F1F
249	#1F1F1F
250	#1F1F1F
251	#1F1F1F
252	#1F1F1F
253	#1F1F1F
254	#1F1F1F
255	#1F1F1F
256	#1F1F1F
257	#1F1F1F
258	#1F1F1F
259	#1F1F1F
260	#1F1F1F
261	#1F1F1F
262	#1F1F1F
263	#1F1F1F
264	#1F1F1F
265	#1F1F1F
266	#1F1F1F
267	#1F1F1F
268	#1F1F1F
269	#1F1F1F
270	#1F1F1F
271	#1F1F1F
272	#1F1F1F
273	#1F1F1F
274	#1F1F1F
275	#1E1E1E
276	#202020
277	#333333
278	#282828
279	#373737
280	#6D6D6D
281	#4C4C4C
282	#6A6A6A
283	#6B6B6B
284	#525252
285	#494949
286	#484848
287	#484848
288	#484848
289	#494949
290	#484848
291	#454545
292	#404040
293	#3E3E3E
294	#3A3A3A
295	#333333
296	#2D2D2D
297	#272727
298	#242424
299	#222222
300	#202020
301	#1F1F1F
302	#1F1F1F
303	#1F1F1F
304	#1F1F1F
305	#202020
306	#1F1F1F
307	#1E1E1E
308	#262626
309	#282828
310	#1E1E1E
311	#1F1F1F
312	#1F1F1F
313	#1F1F1F
314	#1F1F1F
315	#1F1F1F
316	#202020
317	#333333
318	#2E2E2E
319	#2C2C2C
320	#3B3B3B
321	#262626
322	#1F1F1F
323	#1F1F1F
324	#1E1E1E
325	#1F1F1F
326	#252525
327	#282828
328	#232323
329	#1E1E1E
330	#1F1F1F
331	#202020
332	#1F1F1F
333	#202020
334	#202020
335	#1E1E1E
336	#1F1F1F
337	#202020
338	#222222
339	#222222
340	#202020
341	#202020
342	#1F1F1F
343	#1E1E1E
344	#1F1F1F
345	#212121
346	#1F1F1F
347	#1D1D1D
348	#1D1D1D
349	#1E1E1E
350	#1F1F1F
351	#1F1F1F
352	#1F1F1F
353	#1F1F1F
354	#1F1F1F
355	#1F1F1F
356	#1F1F1F
357	#1F1F1F
358	#1E1E1E
359	#1E1E1E
360	#1E1E1E
361	#1F1F1F
362	#1F1F1F
363	#1F1F1F
364	#1F1F1F
365	#1F1F1F
366	#1F1F1F
367	#1F1F1F
368	#1F1F1F
369	#1F1F1F
370	#1F1F1F
371	#1F1F1F
372	#1F1F1F
373	#1F1F1F
374	#1F1F1F
375	#1F1F1F
376	#1F1F1F
377	#1F1F1F
378	#1F1F1F
379	#1F1F1F
380	#1F1F1F
381	#1F1F1F
382	#1F1F1F
383	#1F1F1F
384	#1F1F1F
385	#1F1F1F
386	#1F1F1F
387	#1F1F1F
388	#1F1F1F
389	#1F1F1F
390	#1F1F1F
391	#1F1F1F
392	#1F1F1F
393	#1F1F1F
394	#1F1F1F
395	#1F1F1F
396	#1F1F1F
397	#1F1F1F
398	#1F1F1F
399	#1E1E1E
400	#1D1D1D
401	#1F1F1F
402	#1F1F1F
403	#1F1F1F
404	#1F1F1F
405	#1F1F1F
406	#1F1F1F
407	#1F1F1F
408	#1F1F1F
409	#1F1F1F
410	#1F1F1F
411	#1F1F1F
412	#1F1F1F
413	#1F1F1F
414	#1F1F1F
415	#1D1D1D
416	#202020
417	#4A4A4A
418	#383838
419	#3B3B3B
420	#818181
421	#1A1A1A
422	#1C1C1C
423	#1C1C1C
424	#1A1A1A
425	#1C1C1C
426	#1B1B1B
427	#1B1B1B
428	#1C1C1C
429	#1C1C1C
430	#1B1B1B
431	#1C1C1C
432	#1C1C1C
433	#1C1C1C
434	#1D1D1D
435	#1E1E1E
436	#1E1E1E
437	#1E1E1E
438	#1E1E1E
439	#1F1F1F
440	#1F1F1F
441	#1F1F1F
442	#1F1F1F
443	#1F1F1F
444	#1F1F1F
445	#1F1F1F
446	#1F1F1F
447	#1F1F1F
448	#1E1E1E
449	#212121
450	#242424
451	#202020
452	#1F1F1F
453	#1F1F1F
454	#1F1F1F
455	#1F1F1F
456	#212121
457	#343434
458	#2E2E2E
459	#343434
460	#4B4B4B
461	#252525
462	#1C1C1C
463	#212121
464	#222222
465	#242424
466	#2E2E2E
467	#333333
468	#2A2A2A
469	#212121
470	#222222
471	#222222
472	#222222
473	#202020
474	#202020
475	#212121
476	#1F1F1F
477	#1E1E1E
478	#292929
479	#333333
480	#2F2F2F
481	#282828
482	#252525
483	#242424
484	#222222
485	#222222
486	#242424
487	#262626
488	#252525
489	#222222
490	#202020
491	#212121
492	#212121
493	#212121
494	#222222
495	#232323
496	#212121
497	#212121
498	#232323
499	#232323
500	#222222
501	#202020
502	#1F1F1F
503	#1F1F1F
504	#1F1F1F
505	#1F1F1F
506	#1F1F1F
507	#1F1F1F
508	#1F1F1F
509	#1F1F1F
510	#1F1F1F
511	#202020
512	#212121
513	#212121
514	#1F1F1F
515	#1F1F1F
